id,domain,capability,priority,status,owner,current_evidence,required_closure
CORE-02,"Core control plane","API key lifecycle and capability policy",P0,partial,Platform,"Scoped expiring keys rotation revocation audit and pre-dispatch rejection exist","Prove multi-instance contention and complete Admin/User workflows"
CORE-03,"Core control plane","Groups model routing rate limits and fallback",P0,partial,Platform,"Exact prefix wildcard routing RPM peak multiplier fallback and cycle logic exist","Prove authenticated CRUD projection rebuild and multi-Silo contention"
CORE-04,"Core control plane","Provider accounts credentials and OAuth refresh",P0,partial,Platform,"Encrypted semantic credentials refresh CAS terminal revoke replacement and audits exist","Add live provider profiles key rotation and multi-Silo refresh contention"
CORE-05,"Core control plane","Scheduler slots health sticky routing and cooldowns",P0,partial,Platform,"Scheduler persistent slot lease health sticky rate and fallback code exist","Run current database and two-Silo load/failure evidence"
CORE-06,"Core control plane","Dynamic configuration propagation and rollback",P1,partial,Platform,"Versioned config store propagation rollback APIs and node status exist","Prove every consumer converges and rejects rollback under process faults"
CORE-07,"Core control plane","Provider quota and tier refresh",P1,scaffold,Platform,"Quota schema store CAS and scheduler inputs exist","Enumerate active accounts and call bounded provider adapters under fenced refresh"
BILL-01,"Usage and billing","Lease hold usage ledger settlement and reconciliation",P0,partial,Platform,"Transactional PostgreSQL state and reconciliation code exist","Run current greenfield crash retry and late-settlement matrix"
BILL-02,"Usage and billing","Pricing catalogue and immutable snapshots",P0,partial,Platform,"Decimal quote versions cache/reasoning tokens and source metadata exist","Add provider catalogue/tokenizer authority and integrated price selection"
BILL-03,"Usage and billing","API key and subscription quota reservations",P0,partial,Platform,"Quota reservation event and lifecycle stores exist","Prove concurrent reserve commit release and payment renewal E2E"
BILL-04,"Usage and billing","Balance authority and append-only ledger",P0,partial,Platform,"NUMERIC authority monotonic ledger and idempotent effects exist","Run long multi-Silo financial invariant gate on current schema"
BILL-05,"Usage and billing","Usage query dashboard export and retention",P1,partial,Platform,"Query dashboard export and cleanup source exists","Prove aggregation retention authorization and browser download"
BILL-06,"Usage and billing","Observed-model and specialized-unit settlement",P0,partial,"Gateway + Platform","Observed-model search audio character and long-context fields/tests exist","Finish media propagation and prove all unit types end to end"
COM-01,Commercial,"Payments webhooks refunds and orders",P0,partial,Platform,"Mock/Stripe-shaped checkout signature refund and ledger states exist","Run current DB HTTP crash replay secret rotation and real checkout"
COM-02,Commercial,"Plans subscriptions renewal cancellation and expiry",P1,partial,Platform,"Plan purchase cancel renew expiry stores and worker exist","Prove payment-authoritative renewal and browser/database recovery"
COM-03,Commercial,"Redeem codes and promotions",P1,partial,Platform,"Transactional redeem and promotion source exists","Add concurrent limits audit HTTP and browser evidence"
COM-04,Commercial,"Affiliate referral rebate and transfer lifecycle",P2,partial,Platform,"Referral attribution reward stores and UI exist","Add signup attribution abuse controls transfer/rebate lifecycle and browser proof"
COM-05,Commercial,"Announcements targeting and read state",P2,partial,Platform,"Announcement lifecycle targeting read stores and views exist","Prove database scheduling authorization and browser behavior"
OPS-01,"Administration and operations","Admin API and application workflows",P0,partial,"Platform + Admin Web","Broad Admin API and 16-page application source exist","Run source-built authenticated CRUD authorization and error E2E"
OPS-02,"Administration and operations","Metrics alerts and operator dashboard",P0,partial,"Platform + Gateway + Admin Web","Collectors stores summaries alerts and Operations page exist","Add automatic cross-service correlation delivery recovery and budgets"
OPS-03,"Administration and operations","Active channel monitoring",P1,scaffold,Platform,"Templates claims retries incidents APIs and UI exist","Replace all-process leadership and simulated checks with fencing and real probes"
OPS-04,"Administration and operations","Backup offsite restore and disaster recovery",P1,scaffold,Platform,"Local backup/restore checksum crypto key policy APIs and UI exist","Make scheduler create artifacts and offsite transfer/verify bytes; measure restore"
OPS-05,"Administration and operations","Export cleanup and retention",P2,partial,Platform,"Export jobs tokens cleanup and retention stores exist","Add scheduled lifecycle object cleanup authorization and immutable-audit proof"
OPS-06,"Administration and operations","Passive monitor V2",P1,scaffold,Platform,"Rollup watermark privacy stores and APIs exist","Replace leader placeholder and prove dedup backfill privacy and multi-process behavior"
SEC-01,Security,"Content policy prompt audit and runtime enforcement",P0,partial,"Platform + Gateway","Policy hooks cover chat-classified HTTP text while realtime and other capabilities lack equivalent response evaluation","Define per-capability request response and binary policy then prove outage ordering stream and WebSocket behavior"
SEC-02,Security,"Actor audit redaction export and retention",P1,partial,Platform,"Actor audit recursive redaction and export source exists","Add immutable retention full authorization and security scan gate"
SEC-03,Security,"Proxy credentials and TLS profiles",P0,partial,"Platform + Gateway","Encrypted proxy credentials and TLS profile CRUD exist","Apply TLS fingerprint and prove rotation expiry and isolation"
SEC-04,Security,"Secret storage token validation and key custody",P0,partial,Platform,"AES-GCM JWT checks redaction and master-key operations exist","Prove production custody rotation step-up and recursive secret scans"
SEC-05,Security,"Public anti-abuse and anti-enumeration",P1,partial,Platform,"Login registration counters captcha and domain components exist","Cover all public endpoints with distributed limits and runtime evidence"
UI-01,Frontend,"Admin Web",P0,partial,"Admin Web","Core pages and mutations typecheck and build","Require authenticated backend-backed browser workflow matrix"
UI-02,Frontend,"User dashboard usage keys profile and billing",P0,partial,"User Web","Dashboard usage key profile and billing source typechecks and builds","Prove cross-user authorization refresh replay and real mutations"
UI-03,Frontend,"Authentication recovery OAuth TOTP and Passkeys",P1,partial,"User Web + Platform","Page and API source exists","Run real mail authenticator callback expiry and failure flows"
UI-04,Frontend,"Billing subscriptions redeem and referral",P1,partial,"User Web + Platform","Commercial pages and API source exists","Run provider checkout and complete browser lifecycle"
UI-05,Frontend,"Operations policy monitor and backup consoles",P1,partial,"Admin Web + Platform","Pages and APIs exist","Run authorized mutations against persistent backend state"
UI-06,Frontend,"Public models status terms and privacy",P2,partial,"User Web + Gateway","Anonymous pages typecheck and build at current refs","Run anonymous backend-proxy authorization and accessibility browser checks"
DEP-01,"Deployment and reliability","Fresh schema and idempotent migrator",P0,blocked,Platform,"Forward-only migrator and 65 product SQL files exist","Repair 055/056 and prove 66 total records apply then skip on empty PostgreSQL 17"
DEP-02,"Deployment and reliability","No reference-system runtime or data dependency",P0,verified,Platform,"Static retired-dependency scan finds no Sub2API Redis CDC or Debezium dependency","Preserve this narrow invariant without implying fresh-stack bootstrap passes"
DEP-03,"Deployment and reliability","Fresh container stack setup health readiness and metrics",P0,scaffold,"Platform + Gateway","Compose probes exist but schema startup readiness and first-admin setup are not closed","Repair fresh schema fail unusable startup strengthen readiness and define native setup before empty-volume proof"
DEP-04,"Deployment and reliability","Orleans HA rolling deployment and recovery",P0,scaffold,"Platform + Gateway","Two-Silo two-Gateway topology and rolling/fault scripts exist","Run current drain outage rejoin partition and durable invariant evidence"
DEP-05,"Deployment and reliability","TLS backup restore and disaster recovery",P0,scaffold,Platform,"TLS local backup restore crypto and policy code exists","Implement scheduled/offsite bytes and prove restore RPO RTO ingress and rollback"
DEP-06,"Deployment and reliability","CI contract benchmark migration and paired release gates",P1,blocked,"Platform + Gateway","Independent publishers exist and Admin update reports metadata as a completed download","Gate paired publication remove or replace self-update scaffold and derive reports from executed pre-publication evidence"
DEP-07,"Deployment and reliability","Full-stack E2E load fault and shutdown drills",P0,blocked,"Platform + Gateway","Large smoke stress load and fault script surface exists","Repair invalid SQL and fatality rules then run short and 3600-second gates"
