id,domain,capability,priority,weight,legacy_evidence,target_evidence,status,readiness_score,p0_blocker,remaining_work
"AUTH-06","Authentication / identity","OAuth login providers and account creation/binding flows","P1","2","Sub2API supports GitHub Google LinuxDo WeChat OIDC and DingTalk start/callback/bind/create flows","platform/src/Admin.Api/Endpoints/UserAuthEndpoints.cs:98 supports callback for GitHub and Google only","Skeleton","0.25","no","Implement start/state/PKCE pending binding and remaining providers; add callback UI and tests"
"AUTH-07","Authentication / identity","Profile identity binding password change and account deletion","P1","2","sub2api/backend/internal/server/routes/user.go","No complete target self-service profile surface","Missing","0.00","no","Implement profile password identity binding notification preferences and deletion policies"
"CORE-01","Core control plane","User administration and self-service","P0","3","sub2api/backend/internal/server/routes/admin.go and user.go","platform/src/Admin.Api/Endpoints/UserEndpoints.cs; limited user endpoints in PlatformEndpoints.cs","Partial","0.60","yes","Close role attribute lifecycle batch operation and self-service gaps; add parity contracts"
"CORE-02","Core control plane","API-key lifecycle and policy","P0","3","sub2api/backend/internal/server/routes/user.go and admin.go","platform/src/Admin.Api/Endpoints/ApiKeyEndpoints.cs and PlatformEndpoints.cs:34","Partial","0.60","yes","Match key policies group restrictions rate windows expiration audit and user UI"
"CORE-03","Core control plane","Groups routing rates and fallback","P0","3","sub2api/backend/internal/server/routes/admin.go and user.go plus group services","platform/src/Grains/GroupGrain.cs and Admin.Api/Endpoints/GroupEndpoints.cs","Partial","0.60","yes","Complete routing semantics provider constraints limits and behavioral regression suite"
"CORE-04","Core control plane","Upstream accounts lifecycle credentials and provider OAuth refresh","P0","3","sub2api/backend/internal/server/routes/admin.go includes deep account lifecycle and provider OAuth provisioning","platform/src/Grains/AccountGrain.cs and Admin.Api/Endpoints/AccountEndpoints.cs","Partial","0.60","yes","Implement credential refresh upstream OAuth provisioning health state and full lifecycle actions"
"CORE-05","Core control plane","Scheduler concurrency rate limits sticky routing and fallback","P0","3","Sub2API scheduler snapshots rate-limit status and provider policy services","platform/src/Grains/SchedulerGrain.cs:34; UserGrain and GroupGrain counters","Partial","0.60","yes","Persist/distribute all limit state; enforce model/status/provider policies; add multi-silo and fault tests"
"CORE-06","Core control plane","Runtime configuration public settings and feature flags","P1","2","sub2api/backend/internal/server/routes/common.go auth.go and admin.go","platform/src/Admin.Api/Endpoints/ConfigEndpoints.cs provides a small config set","Skeleton","0.25","no","Inventory and implement public settings feature gates setup state and safe dynamic reload"
"BILL-01","Usage / billing","Durable request lease usage capture outbox and settlement","P0","3","Sub2API gateway billing usage and error services","Platform RequestLeaseStore and Cap'n Proto usage report include token/cache/reasoning/media/video/realtime fields and media operation/pricing IDs; Gateway uses a durable SQLite outbox","Partial","0.60","yes","Prove end-to-end exactly-once outcomes across retries crashes streams media polling and client disconnects"
"BILL-02","Usage / billing","Model pricing rates cache-token and provider pricing rules","P0","3","Sub2API model rate and pricing configuration surfaces","Platform uses decimal token/media/video/realtime rates with Pricing:Models overrides; unknown models are rejected before account selection and lease creation; no implicit fallback price remains","Partial","0.60","yes","Add immutable pricing versions with effective times validation admin workflow audit and historical settlement tests"
"BILL-03","Usage / billing","Quota subscription and rolling-window limits","P0","3","Sub2API subscriptions plan limits and key/user/group quota services","Target has partial fields and plan tables but no complete enforcement lifecycle","Skeleton","0.25","yes","Define precedence and enforce all quota windows subscription entitlements resets and expiry"
"BILL-04","Usage / billing","Money precision transactional integrity and idempotency","P0","3","Sub2API order ledger and billing lifecycle","platform/src/Grains.Interfaces and Admin.Api requests expose double; payment/redeem ledger plus AdjustBalance are cross-store","Skeleton","0.25","yes","Remove double from monetary contracts and make ledger balance/order transitions atomic or recoverably idempotent"
"BILL-05","Usage / billing","Usage query dashboards exports and cleanup","P1","2","sub2api/backend/internal/server/routes/user.go and admin.go expose detailed usage dashboards exports and cleanup","platform/src/Admin.Api/Endpoints/UsageEndpoints.cs and PlatformEndpoints.cs:100","Partial","0.60","no","Add equivalent dimensions aggregation latency exports retention cleanup and user dashboards"
"COM-01","Commercial","Payment providers orders webhooks refunds and reconciliation","P0","3","sub2api/backend/internal/server/routes/payment.go supports EasyPay Alipay WeChat Stripe Airwallex refunds and retries","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:173 creates pending orders and manually confirms","Skeleton","0.25","yes","Implement provider adapters signed webhooks state machine refunds reconciliation idempotency and UI"
"COM-02","Commercial","Subscription purchase assignment renewal expiry and quota reset","P1","2","Sub2API user/admin subscription lifecycle","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:244 only lists/creates plans and lists users","Skeleton","0.25","no","Implement user purchase and admin lifecycle jobs expiry renewal reset and entitlement enforcement"
"COM-03","Commercial","Redeem and promotion codes","P1","2","sub2api/backend/internal/server/routes/user.go and admin.go","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:270 implements redeem-code CRUD and redeem","Partial","0.60","no","Make redemption and balance atomic; add promo semantics UI auditing and concurrency tests"
"COM-04","Commercial","Affiliate referral rebate and transfer lifecycle","P2","1","sub2api/backend/internal/server/routes/user.go and admin.go","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:344 and 376 provide code/list/manual record only","Skeleton","0.25","no","Implement attribution rebate calculation transfer settlement anti-abuse and user/admin UI"
"COM-05","Commercial","Announcements and read tracking","P2","1","sub2api/backend/internal/server/routes/user.go and admin.go","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:134 provides public list and admin CRUD","Partial","0.60","no","Add read state targeting scheduling UI and tests"
"OPS-01","Administration / operations","Core admin CRUD dashboard and config","P0","3","sub2api/backend/internal/server/routes/admin.go","platform/src/Admin.Api/Endpoints for accounts groups users keys dashboard config; admin-web core pages","Partial","0.60","yes","Match batch/deep lifecycle actions authorization audit pagination filters and production UI workflows"
"OPS-02","Administration / operations","Operational metrics logs alerts errors and realtime dashboards","P0","3","Sub2API admin ops routes and services provide collectors alerts logging errors and realtime views","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:439 is only metrics list/manual ingest; Gateway exposes process counters","Skeleton","0.25","yes","Build automatic collectors alert rules log/error pipelines realtime views retention and incident tests"
"OPS-03","Administration / operations","Account/channel monitors templates history and scheduled tests","P1","2","Sub2API channel monitor scheduled-test and template services","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:411 only lists and manually records a check","Skeleton","0.25","no","Implement runners schedules templates alerting history and account-state feedback"
"OPS-04","Administration / operations","Backup restore update rollback and restart","P1","2","sub2api/backend/internal/server/routes/admin.go provides backup restore system update rollback restart","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:672 has update check and a non-applying update response; no backup/restore","Skeleton","0.25","no","Implement tested backup/restore and signed release rollout rollback restart orchestration"
"OPS-05","Administration / operations","Data import export cleanup and maintenance","P2","1","Sub2API data management usage cleanup and maintenance endpoints","No equivalent target workflow","Missing","0.00","no","Implement required independent-target maintenance operations; source-data import remains explicitly out of scope"
"SEC-01","Security / risk","Content moderation prompt audit and runtime enforcement","P0","3","Sub2API prompt audit moderation services and route coverage tests","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:462 has CRUD and substring check but is not in Gateway request path","Skeleton","0.25","yes","Integrate pre/post request enforcement providers policies evidence retention and bypass/latency tests"
"SEC-02","Security / risk","Audit compliance risk control and error passthrough","P1","2","Sub2API admin audit compliance risk and error-passthrough surfaces","platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:642 supports list and arbitrary manual audit insert","Skeleton","0.25","no","Add automatic immutable audit middleware compliance workflows risk rules and safe error policy"
"SEC-03","Security / risk","Proxy and TLS fingerprint secure integration","P0","3","Sub2API proxy management and TLS fingerprint execution","platform proxy/TLS CRUD exists; gateway/src/forwarder/forwarder.cpp uses proxy URL but ignores TLS fingerprint; proxy secrets are exposed by CRUD","Skeleton","0.25","yes","Encrypt/redact proxy credentials and apply validated TLS profiles in outbound connections"
"SEC-04","Security / risk","Secrets encryption admin authentication and authorization hardening","P0","3","Sub2API admin/user auth middleware and credential controls","Platform encrypts account credentials and has admin/user policies; admin is bootstrap password plus JWT","Partial","0.60","yes","Add key rotation secret redaction least privilege session lifecycle CSRF/rate controls and security tests"
"SEC-05","Security / risk","Abuse controls on auth and public endpoints","P1","2","Sub2API auth rate-limit integration tests and abuse controls","No equivalent target-wide limiter/captcha/lockout evidence","Missing","0.00","no","Implement distributed rate limits lockout anti-enumeration captcha hooks and tests"
"UI-01","Frontend","Core administration UI","P0","3","Sub2API has broad admin views","platform/admin-web/src/app.tsx:26-40 covers dashboard accounts groups users keys and config","Partial","0.60","yes","Expose all required admin workflows with authorization errors filters bulk actions and tests"
"UI-02","Frontend","User portal dashboard usage keys profile subscriptions and orders","P0","3","sub2api/frontend/src/views contains user dashboard usage keys profile subscription and order pages","No target user-facing web application","Missing","0.00","yes","Build the operational user portal and end-to-end workflows"
"UI-03","Frontend","User authentication and recovery UI","P1","2","Sub2API includes register OAuth callbacks forgot/reset and passkey flows","Target web contains admin login only","Missing","0.00","no","Build registration login OAuth TOTP passkey verification recovery and session UI"
"UI-04","Frontend","Payments redeem subscriptions and affiliate UI","P1","2","Sub2API user/admin commercial views","No target commercial pages","Missing","0.00","no","Build user checkout/history and admin provider/order/refund/subscription/redeem/affiliate workflows"
"UI-05","Frontend","Operations risk audit monitor and backup UI","P1","2","Sub2API admin operations risk prompt audit monitor and backup views","No corresponding target pages","Missing","0.00","no","Build operator views after backend workflows and observability contracts are stable"
"UI-06","Frontend","Public model plaza setup status and legal/unsubscribe pages","P2","1","sub2api/backend/internal/server/routes/model_plaza.go common.go auth.go and matching views","No target public site surface","Missing","0.00","no","Implement retained public/setup/legal functions or explicitly approve product-scope removal"
"DEP-01","Deployment / reliability","Fresh target schema and idempotent migrator","P0","3","Replacement requires independent storage initialization; no source data is required","platform/src/Db.Migrator; deploy migrations; migration-verification workflow; fresh PostgreSQL audit passed twice","Complete","1.00","no","Keep schema checksum and fresh-database CI mandatory"
"DEP-02","Deployment / reliability","Independent bootstrap with no legacy database or CDC","P0","3","User explicitly excludes Sub2API data migration","platform/deploy/migrations/003-migration-control-and-entities.sql:147 defaults to sub2api/legacy_primary and target writes remain fenced","Skeleton","0.25","yes","Add an explicit greenfield initialization mode/runbook that never requires source snapshot CDC or legacy readiness"
"DEP-03","Deployment / reliability","Container stack health readiness and metrics","P0","3","Production replacement needs independently operable services","root docker-compose.yml defines a single Gateway/silo stack; running containers are healthy and Gateway /live /ready /metrics probes return 200, but images predate the current working tree and no current-tree traffic or provider E2E evidence exists","Partial","0.60","yes","Rebuild from current sources; add seeded target-only traffic, provider mocks, metrics assertions, and a multi-instance deployment gate"
"DEP-04","Deployment / reliability","Orleans HA clustering rolling deployment and failure recovery","P0","3","Legacy shutdown requires target control plane availability during node loss","Orleans/PostgreSQL clustering primitives exist but compose is single-silo and no rolling/failover drill is present","Skeleton","0.25","yes","Define multi-silo topology placement versioning graceful drain and prove node/database/cache failure recovery"
"DEP-05","Deployment / reliability","Ingress TLS backup restore and disaster recovery","P0","3","Production replacement requires edge security and recoverability","No target ingress/TLS termination backup schedule restore drill RPO/RTO evidence in workspace","Missing","0.00","yes","Add production ingress certificates backups restore automation offsite policy and measured DR drills"
"DEP-06","Deployment / reliability","CI build unit contract migration and formal gates","P1","2","Replacement needs repeatable quality gates","Current tree: Gateway CTest 79/79, Platform Host 40/40 and Grains 50/50; migrations 001-010 and Cap'n Proto coverage pass locally, but Go/frontend toolchains are unavailable here and CI lacks full cross-repo provider E2E","Partial","0.60","no","Make web and Sub2API backend checks blocking; add cross-repo API/Capnp compatibility, provider mock integration, current-image migration gates, and release artifacts"
"DEP-07","Deployment / reliability","Full-stack E2E load fault and shutdown/cutover drills","P0","3","Production replacement bar requires evidence under realistic traffic and failure","No CI or workspace evidence for complete Gateway+Platform live upstream flow load/fault drills or legacy shutdown rehearsal","Missing","0.00","yes","Create seeded target-only E2E suite SLO load tests fault injection soak and reversible shutdown rehearsal"
